,total_mask_num,match_num,match_ratio
858,8,1,0.125
859,7,0,0.0
860,2,0,0.0
861,0,0,NAN
862,3,0,0.0
863,3,0,0.0
864,1,0,0.0
865,4,0,0.0
866,5,0,0.0
867,5,1,0.2
868,1,0,0.0
869,7,1,0.14285714285714285
870,1,0,0.0
871,4,1,0.25
872,2,0,0.0
873,1,0,0.0
874,2,1,0.5
875,5,0,0.0
876,3,1,0.3333333333333333
877,1,0,0.0
878,4,0,0.0
879,4,1,0.25
880,1,0,0.0
881,3,0,0.0
882,3,0,0.0
883,3,0,0.0
884,2,0,0.0
885,3,0,0.0
886,1,0,0.0
887,3,0,0.0
888,4,2,0.5
889,5,0,0.0
890,3,0,0.0
891,6,1,0.16666666666666666
892,1,0,0.0
893,4,0,0.0
894,4,1,0.25
895,1,0,0.0
896,3,1,0.3333333333333333
897,2,0,0.0
898,2,0,0.0
899,11,1,0.09090909090909091
900,6,0,0.0
901,4,0,0.0
902,6,0,0.0
903,2,0,0.0
904,8,1,0.125
905,7,0,0.0
906,0,0,NAN
907,3,1,0.3333333333333333
908,2,0,0.0
909,7,1,0.14285714285714285
910,5,0,0.0
911,5,0,0.0
912,2,0,0.0
913,5,0,0.0
914,4,0,0.0
915,7,2,0.2857142857142857
916,8,1,0.125
917,3,0,0.0
918,8,1,0.125
919,3,0,0.0
920,2,1,0.5
921,0,0,NAN
922,5,1,0.2
923,3,0,0.0
924,5,0,0.0
925,6,1,0.16666666666666666
926,3,0,0.0
927,3,0,0.0
928,3,2,0.6666666666666666
929,6,1,0.16666666666666666
930,3,0,0.0
931,0,0,NAN
932,2,0,0.0
933,5,1,0.2
934,4,0,0.0
935,1,0,0.0
936,3,0,0.0
937,5,1,0.2
938,4,0,0.0
939,4,0,0.0
940,5,0,0.0
941,1,0,0.0
942,3,0,0.0
943,3,0,0.0
944,1,0,0.0
945,2,0,0.0
946,3,0,0.0
947,6,0,0.0
948,4,0,0.0
949,3,0,0.0
950,3,1,0.3333333333333333
951,2,0,0.0
952,6,0,0.0
953,5,1,0.2
954,4,0,0.0
955,3,0,0.0
956,3,0,0.0
957,1,0,0.0
958,5,1,0.2
959,1,0,0.0
960,8,1,0.125
961,1,0,0.0
962,3,0,0.0
963,2,0,0.0
964,4,1,0.25
965,7,2,0.2857142857142857
966,4,2,0.5
967,2,0,0.0
968,8,2,0.25
969,4,1,0.25
970,2,0,0.0
971,3,0,0.0
972,5,0,0.0
973,5,1,0.2
974,7,2,0.2857142857142857
975,5,0,0.0
976,6,2,0.3333333333333333
977,1,0,0.0
978,6,0,0.0
979,4,0,0.0
980,1,0,0.0
981,12,0,0.0
982,2,0,0.0
983,1,1,1.0
984,3,0,0.0
985,3,0,0.0
986,5,0,0.0
987,1,0,0.0
988,5,0,0.0
989,5,0,0.0
990,3,0,0.0
991,5,0,0.0
992,0,0,NAN
993,1,0,0.0
994,3,1,0.3333333333333333
995,5,1,0.2
996,2,1,0.5
997,2,0,0.0
998,1,0,0.0
999,9,2,0.2222222222222222
1000,2,0,0.0
1001,2,1,0.5
1002,5,0,0.0
1003,6,0,0.0
1004,6,3,0.5
1005,4,0,0.0
1006,1,0,0.0
1007,1,0,0.0
1008,3,0,0.0
1009,1,0,0.0
1010,7,1,0.14285714285714285
1011,2,0,0.0
1012,3,0,0.0
1013,0,0,NAN
1014,5,0,0.0
1015,1,0,0.0
1016,0,0,NAN
1017,1,0,0.0
1018,4,0,0.0
1019,0,0,NAN
1020,1,0,0.0
1021,3,1,0.3333333333333333
1022,3,1,0.3333333333333333
1023,1,0,0.0
1024,1,0,0.0
1025,2,1,0.5
1026,4,0,0.0
1027,5,0,0.0
1028,2,0,0.0
1029,7,1,0.14285714285714285
1030,6,2,0.3333333333333333
1031,3,0,0.0
1032,2,1,0.5
1033,4,1,0.25
1034,3,0,0.0
1035,4,1,0.25
1036,2,0,0.0
1037,1,0,0.0
1038,0,0,NAN
1039,3,0,0.0
1040,2,0,0.0
1041,11,1,0.09090909090909091
1042,2,1,0.5
1043,4,1,0.25
1044,2,0,0.0
1045,3,0,0.0
1046,1,0,0.0
1047,5,0,0.0
1048,6,1,0.16666666666666666
1049,3,0,0.0
1050,4,0,0.0
1051,2,1,0.5
1052,5,0,0.0
1053,2,0,0.0
1054,4,2,0.5
1055,1,0,0.0
1056,2,0,0.0
1057,2,0,0.0
1058,3,0,0.0
1059,2,0,0.0
1060,8,1,0.125
1061,2,0,0.0
1062,7,4,0.5714285714285714
1063,3,0,0.0
1064,2,0,0.0
1065,5,0,0.0
1066,2,0,0.0
1067,3,1,0.3333333333333333
1068,2,0,0.0
1069,3,0,0.0
1070,2,0,0.0
1071,2,0,0.0
1072,1,1,1.0
1073,5,1,0.2
1074,5,0,0.0
1075,7,0,0.0
1076,6,0,0.0
1077,7,0,0.0
1078,6,1,0.16666666666666666
1079,4,1,0.25
1080,1,0,0.0
1081,7,0,0.0
1082,2,0,0.0
1083,7,3,0.42857142857142855
1084,5,1,0.2
1085,1,0,0.0
1086,6,0,0.0
1087,1,0,0.0
1088,5,1,0.2
1089,6,0,0.0
1090,7,2,0.2857142857142857
1091,4,0,0.0
1092,0,0,NAN
1093,0,0,NAN
1094,0,0,NAN
1095,6,0,0.0
1096,5,0,0.0
1097,1,0,0.0
1098,1,0,0.0
1099,0,0,NAN
1100,1,0,0.0
1101,5,1,0.2
1102,2,0,0.0
1103,4,2,0.5
1104,6,1,0.16666666666666666
1105,7,0,0.0
1106,3,0,0.0
1107,3,0,0.0
1108,2,0,0.0
1109,3,1,0.3333333333333333
1110,1,0,0.0
1111,2,1,0.5
1112,3,0,0.0
1113,1,1,1.0
1114,3,1,0.3333333333333333
1115,0,0,NAN
1116,4,0,0.0
1117,1,0,0.0
1118,2,0,0.0
1119,12,0,0.0
1120,3,0,0.0
1121,0,0,NAN
1122,2,0,0.0
1123,0,0,NAN
1124,0,0,NAN
1125,0,0,NAN
1126,7,0,0.0
1127,1,0,0.0
1128,1,0,0.0
1129,0,0,NAN
1130,3,0,0.0
1131,4,0,0.0
1132,5,2,0.4
1133,3,1,0.3333333333333333
1134,2,0,0.0
1135,5,0,0.0
1136,4,0,0.0
1137,4,0,0.0
1138,3,0,0.0
1139,8,0,0.0
1140,2,0,0.0
1141,8,1,0.125
1142,3,0,0.0
1143,2,0,0.0
1144,2,0,0.0
1145,6,0,0.0
1146,1,0,0.0
1147,0,0,NAN
1148,5,0,0.0
1149,2,0,0.0
1150,4,1,0.25
1151,2,0,0.0
1152,3,0,0.0
1153,0,0,NAN
1154,2,1,0.5
1155,3,0,0.0
1156,2,0,0.0
1157,4,1,0.25
1158,7,2,0.2857142857142857
1159,0,0,NAN
1160,0,0,NAN
1161,4,0,0.0
1162,9,1,0.1111111111111111
1163,2,0,0.0
1164,3,1,0.3333333333333333
1165,5,0,0.0
1166,2,0,0.0
1167,0,0,NAN
1168,5,2,0.4
1169,3,0,0.0
1170,5,0,0.0
1171,6,0,0.0
1172,7,0,0.0
1173,2,0,0.0
1174,4,1,0.25
1175,4,1,0.25
1176,3,0,0.0
1177,2,0,0.0
1178,8,1,0.125
1179,3,0,0.0
1180,2,0,0.0
1181,8,2,0.25
1182,4,0,0.0
1183,3,0,0.0
1184,1,0,0.0
1185,1,0,0.0
1186,3,0,0.0
1187,5,0,0.0
1188,4,0,0.0
1189,5,0,0.0
1190,3,0,0.0
1191,0,0,NAN
1192,4,0,0.0
1193,4,0,0.0
1194,3,0,0.0
1195,7,0,0.0
1196,3,2,0.6666666666666666
1197,4,0,0.0
1198,1,1,1.0
1199,5,1,0.2
1200,5,0,0.0
1201,5,2,0.4
1202,4,1,0.25
1203,1,0,0.0
1204,4,0,0.0
1205,11,4,0.36363636363636365
1206,0,0,NAN
1207,1,0,0.0
1208,5,0,0.0
1209,4,0,0.0
1210,7,0,0.0
1211,2,0,0.0
1212,1,0,0.0
1213,7,1,0.14285714285714285
1214,1,0,0.0
1215,5,0,0.0
1216,2,0,0.0
1217,3,1,0.3333333333333333
1218,6,0,0.0
1219,5,1,0.2
1220,7,0,0.0
1221,4,1,0.25
1222,3,0,0.0
1223,7,0,0.0
1224,2,0,0.0
1225,8,1,0.125
1226,3,0,0.0
1227,1,0,0.0
1228,3,0,0.0
1229,2,0,0.0
1230,0,0,NAN
1231,4,0,0.0
1232,5,0,0.0
1233,7,0,0.0
1234,4,2,0.5
1235,13,0,0.0
1236,2,0,0.0
1237,2,0,0.0
1238,5,1,0.2
1239,5,1,0.2
1240,0,0,NAN
1241,2,0,0.0
1242,3,1,0.3333333333333333
1243,3,0,0.0
1244,6,0,0.0
1245,3,0,0.0
1246,3,0,0.0
1247,2,0,0.0
1248,1,0,0.0
1249,4,1,0.25
1250,6,0,0.0
1251,6,0,0.0
1252,1,0,0.0
1253,2,0,0.0
1254,4,1,0.25
1255,3,1,0.3333333333333333
1256,8,2,0.25
1257,7,1,0.14285714285714285
1258,5,1,0.2
1259,5,0,0.0
1260,0,0,NAN
1261,7,1,0.14285714285714285
1262,3,0,0.0
1263,3,0,0.0
1264,3,0,0.0
1265,2,0,0.0
1266,2,0,0.0
1267,6,0,0.0
1268,3,0,0.0
1269,3,0,0.0
1270,4,1,0.25
1271,3,1,0.3333333333333333
1272,2,1,0.5
1273,4,0,0.0
1274,5,0,0.0
1275,1,0,0.0
1276,5,1,0.2
1277,0,0,NAN
1278,4,0,0.0
1279,2,0,0.0
1280,3,0,0.0
1281,2,0,0.0
1282,3,0,0.0
1283,0,0,NAN
1284,5,0,0.0
1285,2,0,0.0
1286,3,0,0.0
1287,2,0,0.0
1288,6,2,0.3333333333333333
