,0,1,2,3,4,5,6,7,8,9,10,11
120,6C:EC:EB:1F:F4:46_-82,6C:EC:EB:1F:F6:65_-79,7C:66:9D:7B:2B:9F_-70,6C:EC:EB:1F:F4:74_-80,6C:EC:EB:1F:F6:76_-70,,,,,,,
121,7C:66:9D:7B:29:FB_-77,BC:6A:29:BE:31:57_-90,7C:66:9D:7B:29:FA_-89,,,,,,,,,
122,6C:EC:EB:1F:F6:24_-87,6C:EC:EB:1F:F4:74_-57,7C:66:9D:7B:2B:9F_-87,6C:EC:EB:1F:F6:65_-90,6C:EC:EB:1F:F6:76_-83,,,,,,,
123,6C:EC:EB:1F:F6:24_-92,7C:66:9D:7B:29:FB_-84,,,,,,,,,,
124,,,,,,,,,,,,
125,BC:6A:29:BE:2F:23_-82,6C:EC:EB:1F:F6:26_-89,6C:EC:EB:1F:F6:24_-76,6C:EC:EB:1F:F6:65_-69,,,,,,,,
126,7C:66:9D:7B:29:FA_-91,7C:66:9D:7B:2B:90_-95,,,,,,,,,,
127,7C:66:9D:7B:29:FA_-67,,,,,,,,,,,
128,7C:66:9D:7B:29:FB_-88,BC:6A:29:BE:31:57_-70,BC:6A:29:BE:31:57_-73,,,,,,,,,
129,6C:EC:EB:1F:F6:76_-73,6C:EC:EB:1F:F6:24_-76,7C:66:9D:7B:2B:9F_-86,6C:EC:EB:1F:FD:83_-72,6C:EC:EB:1F:FD:83_-70,,,,,,,
130,7C:66:9D:7B:2B:9F_-70,6C:EC:EB:1F:F6:24_-86,,,,,,,,,,
131,6C:EC:EB:1F:FD:83_-83,6C:EC:EB:1F:F6:65_-83,6C:EC:EB:1F:F6:55_-69,6C:EC:EB:1F:F6:15_-69,7C:66:9D:7B:2B:90_-63,6C:EC:EB:1F:F6:65_-82,BC:6A:29:BE:2F:76_-86,,,,,
132,6C:EC:EB:1F:F6:55_-93,6C:EC:EB:1F:FD:9B_-86,,,,,,,,,,
133,7C:66:9D:7B:2D:4A_-59,,,,,,,,,,,
134,6C:EC:EB:1F:F4:74_-68,6C:EC:EB:1F:FD:83_-77,BC:6A:29:BE:2F:23_-83,6C:EC:EB:1F:F6:65_-83,6C:EC:EB:1F:FD:83_-78,6C:EC:EB:1F:F4:74_-68,,,,,,
135,6C:EC:EB:1F:F6:76_-70,6C:EC:EB:1F:F4:46_-69,BC:6A:29:BE:2F:23_-66,7C:66:9D:7B:2B:9F_-69,,,,,,,,
136,6C:EC:EB:1F:F6:15_-78,6C:EC:EB:1F:F6:55_-68,6C:EC:EB:1F:F6:65_-89,7C:66:9D:7B:2B:90_-67,6C:EC:EB:1F:F6:55_-69,6C:EC:EB:1F:F4:4F_-94,7C:66:9D:7B:2B:90_-66,,,,,
137,,,,,,,,,,,,
138,7C:66:9D:7B:29:FA_-72,BC:6A:29:BE:2F:76_-60,,,,,,,,,,
139,BC:6A:29:BE:31:57_-90,7C:66:9D:7B:2B:9F_-82,6C:EC:EB:1F:F6:24_-67,7C:66:9D:7B:29:FB_-77,6C:EC:EB:1F:F6:26_-77,7C:66:9D:7B:2B:90_-84,6C:EC:EB:1F:F6:65_-76,7C:66:9D:7B:29:FB_-78,,,,
140,6C:EC:EB:1F:F4:74_-77,6C:EC:EB:1F:F6:76_-84,7C:66:9D:7B:2B:9F_-78,,,,,,,,,
141,6C:EC:EB:1F:F4:46_-79,BC:6A:29:BE:2F:23_-72,BC:6A:29:BE:2F:23_-73,7C:66:9D:7B:29:FB_-72,,,,,,,,
142,,,,,,,,,,,,
143,7C:66:9D:7B:29:FA_-79,,,,,,,,,,,
144,7C:66:9D:7B:29:FA_-90,7C:66:9D:7B:29:FA_-89,,,,,,,,,,
145,7C:66:9D:7B:2D:4A_-58,,,,,,,,,,,
146,7C:66:9D:7B:29:FA_-71,7C:66:9D:7B:29:FB_-82,BC:6A:29:BE:31:57_-73,,,,,,,,,
147,6C:EC:EB:1F:F4:46_-83,6C:EC:EB:1F:F6:26_-84,,,,,,,,,,
148,6C:EC:EB:1F:FD:83_-84,6C:EC:EB:1F:F6:76_-82,6C:EC:EB:1F:FD:83_-84,7C:66:9D:7B:2B:90_-91,BC:6A:29:BE:2F:23_-89,7C:66:9D:7B:2B:9F_-82,,,,,,
149,7C:66:9D:7B:29:FA_-72,,,,,,,,,,,
150,6C:EC:EB:1F:F6:76_-72,6C:EC:EB:1F:F6:76_-71,6C:EC:EB:1F:F4:46_-71,,,,,,,,,
151,BC:6A:29:BE:2F:23_-85,6C:EC:EB:1F:FD:9B_-73,7C:66:9D:7B:2B:90_-73,7C:66:9D:7B:29:FB_-70,,,,,,,,
152,6C:EC:EB:1F:F4:74_-79,7C:66:9D:7B:29:FB_-85,6C:EC:EB:1F:F6:55_-92,6C:EC:EB:1F:F6:76_-83,BC:6A:29:BE:2F:23_-84,6C:EC:EB:1F:F4:74_-79,7C:66:9D:7B:2B:90_-75,,,,,
153,6C:EC:EB:1F:F6:65_-74,,,,,,,,,,,
154,6C:EC:EB:1F:F4:46_-70,6C:EC:EB:1F:F6:65_-84,BC:6A:29:BE:2F:23_-68,7C:66:9D:7B:29:FB_-74,6C:EC:EB:1F:F4:74_-76,7C:66:9D:7B:2B:9F_-74,,,,,,
