,0,1,2,3,4,5,6,7,8,9,10,11
106,7C:66:9D:7B:29:FA_-74,7C:66:9D:7B:29:FA_-74,7C:66:9D:7B:29:FA_-75,7C:66:9D:7B:29:FA_-74,7C:66:9D:7B:29:FA_-74,7C:66:9D:7B:29:FA_-74,,,,,,
107,6C:EC:EB:1F:F6:76_-62,6C:EC:EB:1F:F6:76_-62,,,,,,,,,,
108,6C:EC:EB:1F:F6:76_-86,,,,,,,,,,,
109,BC:6A:29:BE:2F:76_-59,BC:6A:29:BE:2F:76_-60,,,,,,,,,,
110,BC:6A:29:BE:2F:23_-69,BC:6A:29:BE:2F:23_-69,,,,,,,,,,
111,BC:6A:29:BE:2F:76_-69,BC:6A:29:BE:2F:76_-74,,,,,,,,,,
112,7C:66:9D:7B:2B:90_-74,7C:66:9D:7B:2B:90_-74,BC:6A:29:BE:2F:23_-75,7C:66:9D:7B:2B:90_-74,,,,,,,,
113,6C:EC:EB:1F:FD:83_-83,6C:EC:EB:1F:FD:83_-82,6C:EC:EB:1F:FD:83_-82,6C:EC:EB:1F:FD:83_-82,6C:EC:EB:1F:FD:83_-82,6C:EC:EB:1F:FD:83_-82,,,,,,
114,BC:6A:29:BE:2F:23_-80,BC:6A:29:BE:2F:23_-80,,,,,,,,,,
115,7C:66:9D:7B:29:FB_-76,7C:66:9D:7B:29:FB_-76,7C:66:9D:7B:2B:90_-72,7C:66:9D:7B:2D:4A_-98,7C:66:9D:7B:29:FB_-76,7C:66:9D:7B:29:FB_-76,7C:66:9D:7B:29:FB_-76,6C:EC:EB:1F:F6:55_-92,7C:66:9D:7B:29:FB_-76,BC:6A:29:BE:31:57_-81,,
116,6C:EC:EB:1F:F4:74_-75,BC:6A:29:BE:2F:23_-69,6C:EC:EB:1F:F4:74_-75,,,,,,,,,
117,BC:6A:29:BE:31:57_-60,BC:6A:29:BE:31:57_-60,BC:6A:29:BE:31:57_-60,BC:6A:29:BE:31:57_-60,BC:6A:29:BE:31:57_-60,BC:6A:29:BE:31:57_-60,BC:6A:29:BE:31:57_-60,,,,,
118,6C:EC:EB:1F:FD:83_-63,6C:EC:EB:1F:FD:83_-63,,,,,,,,,,
119,7C:66:9D:7B:29:FA_-68,7C:66:9D:7B:29:FA_-68,,,,,,,,,,
120,6C:EC:EB:1F:FD:83_-78,6C:EC:EB:1F:FD:83_-78,6C:EC:EB:1F:FD:83_-78,6C:EC:EB:1F:FD:83_-78,6C:EC:EB:1F:FD:83_-78,,,,,,,
121,7C:66:9D:7B:29:FA_-89,7C:66:9D:7B:29:FA_-89,7C:66:9D:7B:29:FA_-89,,,,,,,,,
