reference_tag,coordinate_x,coordinate_y,cluster_tag,direction_tag,6C:EC:EB:1F:FB:96,6C:EC:EB:1F:F4:4F,6C:EC:EB:1F:F8:E8,6C:EC:EB:1F:FB:C7,6C:EC:EB:1F:FD:9B,20:CD:39:7D:42:D1,6C:EC:EB:1F:FB:B0,6C:EC:EB:1F:FD:8E,6C:EC:EB:1F:F4:46,6C:EC:EB:1F:F4:74,6C:EC:EB:1F:F6:24,6C:EC:EB:1F:FD:83,6C:EC:EB:1F:F6:26,6C:EC:EB:1F:F6:65,6C:EC:EB:1F:F6:76,6C:EC:EB:1F:F6:55,6C:EC:EB:1F:F6:15,6C:EC:EB:1F:F6:2D,7C:66:9D:7B:2B:9F,BC:6A:29:BE:2F:23,7C:66:9D:7B:29:FB,7C:66:9D:7B:2B:90,BC:6A:29:BE:31:57,7C:66:9D:7B:29:FA,BC:6A:29:BE:2F:76,7C:66:9D:7B:2D:4A
21,10.414,6.129,20,1,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128,-82.0,-74.33333333333333,-69.25,-70.0,-128.0,-78.0,-75.0,-128.0,-128.0,-128.0,-72.66666666666667,-61.0,-72.4,-128.0,-128.0,-128.0,-128.0,-128.0
9,10.414,7.124,8,1,-128.0,-128.0,-128.0,-128.0,-92.0,-128.0,-128.0,-128,-128.0,-74.5,-79.0,-75.0,-90.0,-93.5,-83.0,-90.66666666666669,-128.0,-93.0,-64.0,-61.5,-81.0,-128.0,-128.0,-128.0,-128.0,-128.0
14,13.939,1.181,13,1,-93.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128,-128.0,-128.0,-83.0,-128.0,-74.5,-128.0,-128.0,-68.66666666666667,-71.0,-81.0,-128.0,-84.0,-68.0,-68.0,-70.8,-128.0,-128.0,-128.0
9,10.414,7.124,8,1,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128,-128.0,-75.0,-79.0,-128.0,-90.0,-76.66666666666667,-74.66666666666667,-128.0,-128.0,-93.0,-65.0,-61.0,-73.5,-128.0,-128.0,-128.0,-128.0,-128.0
2,14.227,10.88,1,1,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128,-74.0,-56.0,-81.66666666666667,-74.5,-88.0,-77.0,-79.0,-128.0,-128.0,-128.0,-81.5,-78.5,-93.0,-91.5,-128.0,-128.0,-128.0,-128.0
1,10.446,10.737,0,1,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128,-86.0,-76.75,-93.0,-88.0,-128.0,-86.0,-87.33333333333331,-128.0,-128.0,-128.0,-74.0,-82.6,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0
14,13.939,1.181,13,1,-92.0,-128.0,-128.0,-128.0,-87.0,-128.0,-128.0,-128,-128.0,-128.0,-128.0,-85.0,-76.0,-128.0,-128.0,-67.5,-68.5,-74.0,-128.0,-83.5,-64.0,-63.5,-77.0,-128.0,-128.0,-128.0
8,13.253,3.263,7,1,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128,-86.0,-86.0,-128.0,-78.75,-69.5,-78.5,-128.0,-128.0,-128.0,-128.0,-91.0,-86.5,-82.0,-128.0,-89.0,-128.0,-128.0,-128.0
1,10.446,10.737,0,1,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128,-69.6,-128.0,-88.0,-128.0,-128.0,-79.5,-83.66666666666667,-128.0,-128.0,-128.0,-78.0,-78.66666666666667,-87.0,-128.0,-128.0,-128.0,-128.0,-128.0
6,13.253,5.959,5,1,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128,-77.0,-81.33333333333333,-82.5,-71.0,-128.0,-68.0,-82.75,-128.0,-128.0,-128.0,-87.0,-72.33333333333333,-87.33333333333331,-128.0,-96.0,-128.0,-128.0,-128.0
2,14.227,10.88,1,1,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128,-74.66666666666667,-55.75,-86.66666666666669,-77.5,-89.5,-80.33333333333333,-77.66666666666667,-128.0,-128.0,-128.0,-86.0,-79.5,-92.0,-89.0,-89.0,-128.0,-128.0,-128.0
9,10.414,7.124,8,1,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128,-84.0,-75.6,-78.0,-79.0,-128.0,-76.66666666666667,-73.33333333333333,-88.0,-128.0,-93.0,-65.0,-61.66666666666666,-73.8,-128.0,-128.0,-128.0,-128.0,-128.0
16,26.342,1.181,15,1,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-76.66666666666667,-71.0,-64.8,-77.0,-79.66666666666667,-71.2
17,26.342,3.903,16,1,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-94.0,-66.4,-60.4,-67.6
11,2.736,1.181,10,1,-128.0,-128.0,-128.0,-128.0,-90.5,-128.0,-128.0,-128,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-90.33333333333331,-128.0,-128.0,-128.0
7,14.227,4.933,6,1,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128,-86.0,-128.0,-82.0,-72.33333333333333,-86.0,-58.25,-81.66666666666667,-128.0,-128.0,-128.0,-92.0,-69.0,-128.0,-80.0,-128.0,-128.0,-128.0,-128.0
6,13.253,5.959,5,1,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128,-80.75,-81.75,-80.0,-73.66666666666667,-82.5,-70.33333333333333,-128.0,-128.0,-128.0,-128.0,-128.0,-79.33333333333333,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0
13,10.474,1.181,12,1,-128.0,-128.0,-128.0,-128.0,-77.0,-128.0,-91.0,-128,-128.0,-128.0,-88.0,-128.0,-88.0,-128.0,-99.0,-79.0,-91.5,-128.0,-75.0,-70.2,-60.75,-80.0,-86.0,-128.0,-128.0,-128.0
8,13.253,3.263,7,1,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128,-128.0,-128.0,-74.25,-75.0,-68.0,-80.0,-85.5,-128.0,-128.0,-128.0,-84.0,-74.0,-74.0,-77.0,-128.0,-128.0,-128.0,-128.0
